"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"107/08/01","4,012,507","345,034,802","85.80","86.20","85.80","86.15","+0.60","1,507",
"107/08/02","4,774,950","408,144,300","86.10","86.15","84.85","84.85","-1.30","1,255",
"107/08/03","1,225,166","104,806,018","85.40","85.70","85.35","85.55","+0.70","661",
"107/08/06","2,424,671","208,061,157","85.55","86.10","85.35","85.70","+0.15","1,169",
"107/08/07","1,199,281","102,654,664","85.70","85.80","85.40","85.50","-0.20","893",
"107/08/08","4,074,984","351,307,291","85.80","86.40","85.80","86.15","+0.65","1,274",
"107/08/09","1,631,789","140,409,677","86.10","86.25","85.70","86.15"," 0.00","860",
"107/08/10","1,279,917","109,887,403","85.70","86.15","85.65","85.70","-0.45","717",
"107/08/13","7,284,934","613,593,198","85.05","85.05","83.65","83.95","-1.75","3,154",
"107/08/14","2,243,205","189,202,665","84.40","84.60","84.05","84.55","+0.60","1,082",
"107/08/15","4,279,671","358,442,697","84.50","84.50","83.45","83.75","-0.80","2,778",
"107/08/16","4,532,542","378,662,628","83.25","84.10","83.05","83.80","+0.05","1,957",
"107/08/17","4,640,039","388,914,326","83.95","84.15","83.60","83.65","-0.15","1,655",
"107/08/20","3,147,996","264,000,882","83.90","84.10","83.70","83.95","+0.30","1,466",
"107/08/21","5,023,058","423,888,290","83.90","84.65","83.90","84.55","+0.60","1,700",
"107/08/22","3,545,768","300,217,040","84.70","84.85","84.35","84.65","+0.10","1,156",
"107/08/23","3,869,236","328,564,580","84.80","85.20","84.60","85.05","+0.40","903",
"107/08/24","2,549,174","216,059,090","85.00","85.10","84.45","84.80","-0.25","810",
"107/08/27","5,025,454","428,795,783","85.00","85.55","85.00","85.55","+0.75","1,853",
"107/08/28","8,288,078","714,613,443","85.95","86.40","85.95","86.25","+0.70","2,833",
"107/08/29","13,383,846","1,164,633,494","86.45","87.35","86.45","87.25","+1.00","4,145",
"107/08/30","9,894,177","869,371,023","87.80","88.35","87.45","87.55","+0.30","3,515",
"107/08/31","4,245,610","368,332,289","87.00","87.00","86.45","86.95","-0.60","2,097",


