ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/08/01,"10,407,371","720,963,537",68.8,69.45,68.8,69.3,0.75,"1,682"
105/08/02,"7,116,974","492,812,674",69.25,69.4,69.1,69.3,0,"1,216"
105/08/03,"13,801,107","946,584,522",68.5,68.9,68.05,68.75,-0.55,"1,470"
105/08/04,"10,674,699","733,253,890",68.85,68.95,68.35,68.9,0.15,"1,144"
105/08/05,"12,422,864","864,171,627",69.1,69.75,68.9,69.6,0.7,"2,242"
105/08/08,"7,902,947","553,043,688",70,70.25,69.7,70.05,0.45,"1,664"
105/08/09,"11,568,485","812,755,084",70,70.45,69.95,70.4,0.35,"2,128"
105/08/10,"6,497,798","457,603,790",70.3,70.6,70.05,70.6,0.2,"1,312"
105/08/11,"10,903,420","764,847,436",70.2,70.55,69.45,69.95,-0.65,"1,445"
105/08/12,"5,258,706","369,627,870",70.15,70.5,70.05,70.2,0.25,"1,246"
105/08/15,"4,797,475","337,198,175",70.2,70.5,69.9,70.35,0.15,869
105/08/16,"4,431,992","310,743,190",70.3,70.5,69.7,69.95,-0.4,"1,249"
105/08/17,"8,925,360","624,761,250",69.9,70.1,69.75,70.05,0.1,"3,274"
105/08/18,"3,275,034","229,222,344",70,70.15,69.8,69.9,-0.15,559
105/08/19,"8,299,801","577,768,663",69.9,70.45,69.2,69.2,-0.7,"1,432"
105/08/22,"7,083,411","486,606,651",69,69.15,68.45,68.7,-0.5,"1,495"
105/08/23,"7,084,009","491,063,695",68.9,69.6,68.9,69.4,0.7,851
105/08/24,"5,071,479","351,620,508",69.35,69.55,69.2,69.2,-0.2,585
105/08/25,"8,022,568","560,917,960",69.3,70.15,69.3,70,0.8,"1,233"
105/08/26,"2,991,939","209,743,380",69.95,70.3,69.8,70.1,0.1,786
105/08/29,"3,554,924","247,992,994",69.9,70.15,69.2,70.05,-0.05,829
105/08/30,"3,791,222","265,330,977",70,70.25,69.8,70,-0.05,647
105/08/31,"5,206,081","362,946,724",69.85,70.05,69.3,69.4,-0.6,"1,043"
