"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"108/01/02","8,532,073","636,107,101","75.85","75.90","73.95","74.05","-1.45","4,102",
"108/01/03","13,347,147","981,181,870","73.80","74.00","73.25","73.35","-0.70","5,208",
"108/01/04","21,292,465","1,540,084,560","72.80","72.80","72.00","72.20","-1.15","8,826",
"108/01/07","14,605,638","1,077,319,115","73.55","74.05","73.25","73.95","+1.75","4,891",
"108/01/08","11,006,700","811,364,720","74.15","74.15","73.55","73.65","-0.30","2,869",
"108/01/09","11,430,523","855,269,355","73.95","75.15","73.95","75.00","+1.35","5,277",
"108/01/10","2,823,283","210,937,625","74.80","74.90","74.50","74.80","-0.20","1,231",
"108/01/11","10,362,915","782,200,792","75.30","75.75","75.15","75.50","+0.70","3,660",
"108/01/14","5,298,405","397,504,723","75.45","75.45","74.75","75.00","-0.50","2,018",
"108/01/15","11,836,450","894,286,699","75.05","75.80","75.05","75.65","+0.65","5,250",
"108/01/16","15,342,503","1,159,613,447","75.65","75.70","75.35","75.55","-0.10","5,360",
"108/01/17","10,020,739","756,877,394","75.60","75.90","75.15","75.55"," 0.00","3,137",
"108/01/18","8,293,491","629,378,860","75.75","76.10","75.40","75.95","+0.40","5,013",
"108/01/21","10,454,756","799,923,534","76.35","76.70","76.25","76.50","+0.55","3,895",
"108/01/22","8,838,931","653,814,320","74.40","74.40","73.80","74.05","X0.00","4,742",
"108/01/23","6,407,442","472,728,408","74.00","74.00","73.65","73.70","-0.35","3,167",
"108/01/24","3,500,506","258,832,935","73.95","74.15","73.75","74.05","+0.35","1,363",
"108/01/25","7,320,778","548,115,919","74.60","75.10","74.55","75.00","+0.95","3,322",
"108/01/28","3,825,143","287,814,225","75.15","75.45","75.05","75.15","+0.15","1,795",
"108/01/29","4,419,790","328,663,492","74.50","74.55","74.20","74.50","-0.65","2,251",
"108/01/30","5,255,229","390,864,071","74.50","74.65","74.20","74.35","-0.15","1,833",


