ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/01/04,"16,928,063","1,009,176,452",60.8,60.95,59.05,59.55,-1.2,"5,730"
105/01/05,"21,783,969","1,291,792,220",59.5,59.75,58.85,59.05,-0.5,"6,708"
105/01/06,"28,939,550","1,688,039,896",59.05,59.05,57.9,58.45,-0.6,"8,406"
105/01/07,"39,962,301","2,289,801,488",58.3,58.3,56.7,57.35,-1.1,"11,325"
105/01/08,"25,450,734","1,459,152,633",57,57.7,56.85,57.45,0.1,"7,024"
105/01/11,"24,356,269","1,375,352,256",56.9,56.95,56,56.55,-0.9,"7,405"
105/01/12,"17,649,886","998,368,462",56.8,57,56.3,56.5,-0.05,"5,238"
105/01/13,"11,848,432","677,682,867",57,57.5,56.75,57.15,0.65,"5,664"
105/01/14,"15,487,360","871,255,829",56.5,56.7,55.85,56.7,-0.45,"5,765"
105/01/15,"20,847,878","1,181,841,700",57.1,57.5,56.25,56.7,0,"4,936"
105/01/18,"13,014,340","736,737,370",55.9,57.3,55.8,57.1,0.4,"4,379"
105/01/19,"8,110,815","462,104,462",57,57.25,56.65,57.25,0.15,"2,801"
105/01/20,"22,688,368","1,270,701,758",56.85,56.85,55.6,55.9,-1.35,"7,993"
105/01/21,"10,450,055","585,123,480",56.1,56.3,55.6,55.8,-0.1,"4,579"
105/01/22,"13,943,516","784,844,013",56.35,56.6,56,56.55,0.75,"3,835"
105/01/25,"12,773,195","734,244,688",57,57.8,57,57.55,1,"4,215"
105/01/26,"7,583,870","431,532,884",57,57.15,56.7,57,-0.55,"3,599"
105/01/27,"9,101,121","520,457,441",57.4,57.45,56.95,57.25,0.25,"2,287"
105/01/28,"10,224,860","588,123,466",57.15,57.75,57,57.55,0.3,"3,285"
105/01/29,"20,207,611","1,180,203,349",57.5,59.1,57.25,59,1.45,"7,319"
105/01/30,"13,202,648","785,683,942",59.45,59.7,59.2,59.55,0.55,"3,965"
