"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"107/02/01","2,914,539","248,420,810","84.75","85.50","84.75","85.25","+0.60","897",
"107/02/02","3,081,592","261,095,295","84.85","85.15","84.35","84.90","-0.35","880",
"107/02/05","7,075,902","588,994,369","83.20","83.75","82.90","83.60","-1.30","2,875",
"107/02/06","32,222,595","2,574,016,957","80.85","81.10","78.80","79.65","-3.95","11,372",
"107/02/07","10,181,907","825,539,952","81.35","81.40","80.60","80.65","+1.00","5,189",
"107/02/08","4,514,691","363,476,832","80.65","80.95","80.30","80.60","-0.05","1,972",
"107/02/09","16,211,237","1,271,812,204","78.60","79.20","78.00","79.05","-1.55","6,760",
"107/02/12","8,443,795","672,977,850","79.55","79.90","79.40","79.70","+0.65","3,828",
"107/02/21","11,646,085","948,993,971","81.40","81.70","81.10","81.50","+1.80","4,541",
"107/02/22","3,749,910","303,821,917","81.50","81.50","80.75","81.00","-0.50","1,744",
"107/02/23","3,779,316","309,207,057","81.40","82.10","81.40","82.00","+1.00","1,793",
"107/02/26","3,289,207","271,560,439","82.55","82.80","82.35","82.40","+0.40","1,380",
"107/02/27","7,663,746","634,417,022","83.10","83.20","82.35","82.35","-0.05","2,037",


