ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/03/01,"17,236,846","1,063,544,724",61.25,61.95,61.1,61.85,0.6,"3,170"
105/03/02,"22,870,541","1,429,351,890",62.35,62.75,62.25,62.35,0.5,"4,450"
105/03/03,"32,602,730","2,049,950,175",62.35,63.3,62.35,62.95,0.6,"4,358"
105/03/04,"24,050,775","1,516,905,064",62.9,63.3,62.75,63.1,0.15,"3,237"
105/03/07,"21,497,714","1,360,686,374",63.2,63.7,62.9,63.1,0,"3,147"
105/03/08,"13,634,860","856,574,187",63,63.1,62.5,63.05,-0.05,"2,384"
105/03/09,"8,097,374","509,283,704",63.05,63.15,62.65,63.1,0.05,"2,074"
105/03/10,"21,352,778","1,350,247,727",63.05,63.4,62.85,63.25,0.15,"2,018"
105/03/11,"22,682,346","1,438,882,479",63.2,63.75,63.05,63.55,0.3,"2,712"
105/03/14,"25,831,819","1,656,759,416",64,64.25,63.95,64,0.45,"5,390"
105/03/15,"18,905,608","1,202,923,134",64,64.1,63,63.05,-0.95,"5,012"
105/03/16,"36,277,393","2,306,691,168",63.35,63.75,63.35,63.6,0.55,"3,399"
105/03/17,"20,031,419","1,293,323,925",64.55,64.9,64.05,64.3,0.7,"4,479"
105/03/18,"31,120,204","2,012,043,642",64.4,64.85,64.3,64.7,0.4,"3,630"
105/03/21,"6,056,792","391,100,684",64.9,65.05,64.2,64.6,-0.1,"1,337"
105/03/22,"8,180,504","524,896,358",64.35,64.55,63.85,64.4,-0.2,"1,809"
105/03/23,"11,996,985","773,806,611",64.4,64.85,64.25,64.35,-0.05,"2,241"
105/03/24,"8,530,772","547,517,642",64.25,64.5,63.7,64.35,0,"1,364"
105/03/25,"3,814,633","244,659,326",64.5,64.5,63.95,64.05,-0.3,"1,093"
105/03/28,"7,346,998","471,125,135",64.05,64.4,63.8,64.1,0.05,"1,372"
105/03/29,"10,741,646","685,826,209",64,64.3,63.5,63.65,-0.45,"1,828"
105/03/30,"29,118,588","1,881,582,104",64.05,64.9,64,64.7,1.05,"3,940"
105/03/31,"16,046,959","1,040,188,630",65.1,65.4,64.45,64.65,-0.05,"4,899"
