ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/06/01,"25,001,628","1,589,746,611",62.95,63.85,62.95,63.7,0.55,"3,329"
105/06/02,"13,721,372","875,256,815",63.7,64.05,63.4,63.7,0,"2,516"
105/06/03,"11,793,067","752,785,548",63.6,64,63.6,63.85,0.15,"1,702"
105/06/04,"3,201,144","204,558,077",63.75,64,63.7,63.95,0.1,833
105/06/06,"12,991,446","833,738,494",64,64.6,63.65,64.05,0.1,"2,642"
105/06/07,"30,837,577","1,994,630,619",64.3,64.95,64.3,64.9,0.85,"4,278"
105/06/08,"26,064,591","1,703,251,028",65,65.55,65,65.25,0.35,"4,111"
105/06/13,"9,520,123","609,293,904",64.3,64.45,63.7,63.75,-1.5,"2,267"
105/06/14,"6,411,945","410,427,450",63.5,64.2,63.5,64.15,0.4,"1,384"
105/06/15,"22,583,365","1,450,755,086",64.15,64.4,63.6,64.25,0.1,"3,257"
105/06/16,"8,999,131","571,056,385",64.1,64.1,63,63.35,-0.9,"1,708"
105/06/17,"5,808,972","372,933,222",63.85,64.4,63.85,64.05,0.7,"1,355"
105/06/20,"10,307,567","664,917,703",64.5,64.65,64.35,64.5,0.45,"1,144"
105/06/21,"18,113,336","1,172,739,969",64.5,64.95,64.45,64.75,0.25,"3,911"
105/06/22,"10,556,831","684,224,159",64.75,64.95,64.55,64.95,0.2,"1,141"
105/06/23,"32,188,327","2,084,118,216",64.8,64.85,64.55,64.8,-0.15,"1,147"
105/06/24,"31,665,065","2,008,280,516",64.75,64.9,62.05,63.1,-1.7,"5,706"
105/06/27,"4,931,264","313,187,141",63.2,63.75,63,63.75,0.65,"1,620"
105/06/28,"5,345,578","340,302,885",63.1,64.05,63.05,64,0.25,"1,369"
105/06/29,"9,101,408","588,313,462",64.15,65,64.15,64.7,0.7,"2,756"
105/06/30,"25,345,136","1,653,395,255",65.15,65.45,64.65,65.45,0.75,"4,679"
