"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/09/01","4,429,357","367,698,896","82.95","83.20","82.65","83.00","+0.05","1,242",
"106/09/04","2,595,960","215,379,980","82.90","83.05","82.70","82.85","-0.15","1,249",
"106/09/05","2,564,014","212,297,667","82.90","83.00","82.65","82.95","+0.10","894",
"106/09/06","2,891,459","239,135,774","82.70","82.90","82.35","82.60","-0.35","733",
"106/09/07","1,368,850","112,962,000","82.80","82.85","82.20","82.25","-0.35","523",
"106/09/08","2,841,807","235,025,531","82.40","82.90","82.40","82.70","+0.45","460",
"106/09/11","1,627,740","134,840,770","83.25","83.35","82.50","82.55","-0.15","641",
"106/09/12","1,394,251","115,579,395","82.95","83.05","82.65","82.85","+0.30","484",
"106/09/13","2,175,414","179,336,920","82.90","83.00","82.25","82.30","-0.55","853",
"106/09/14","1,749,686","144,135,177","82.30","82.55","82.15","82.35","+0.05","543",
"106/09/15","1,821,006","149,836,316","82.35","82.50","82.10","82.35"," 0.00","666",
"106/09/18","2,692,818","223,439,577","82.85","83.15","82.60","83.15","+0.80","1,093",
"106/09/19","1,456,448","120,871,287","83.20","83.30","82.65","82.75","-0.40","689",
"106/09/20","9,963,674","818,692,732","82.50","82.65","82.10","82.20","-0.55","3,861",
"106/09/21","1,830,228","150,729,480","82.05","82.80","81.95","82.70","+0.50","677",
"106/09/22","5,605,786","458,418,952","82.60","82.60","81.55","81.60","-1.10","1,799",
"106/09/25","7,071,046","572,821,645","81.55","81.55","80.75","80.95","-0.65","3,080",
"106/09/26","11,752,300","947,629,479","80.80","81.05","80.30","80.30","-0.65","4,705",
"106/09/27","6,242,902","504,135,812","80.60","80.90","80.55","80.70","+0.40","2,313",
"106/09/28","6,899,317","555,464,689","80.75","80.80","80.30","80.40","-0.30","2,076",
"106/09/29","3,443,865","277,186,537","80.45","80.65","80.30","80.65","+0.25","1,210",
"106/09/30","1,585,133","128,476,096","81.00","81.20","80.85","81.20","+0.55","801",


