ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/11/01,"2,024,337","146,646,068",72.25,72.6,72.1,72.6,0,391
105/11/02,"5,502,479","394,615,232",71.95,72,71.6,71.75,-0.85,"1,116"
105/11/03,"4,554,732","324,765,390",71.45,71.6,71.1,71.2,-0.55,"1,299"
105/11/04,"4,346,371","308,626,872",71,71.2,70.85,71,-0.2,"1,093"
105/11/07,"3,235,375","232,393,622",71.8,72,71.45,72,1,"1,544"
105/11/08,"2,694,109","194,530,719",72.15,72.4,72,72.35,0.35,847
105/11/09,"19,936,675","1,410,922,018",72.85,73.05,70,70,-2.35,"4,810"
105/11/10,"6,699,699","481,884,878",71.8,72.1,71.75,72,2,"1,932"
105/11/11,"8,375,831","588,020,191",70.35,70.7,69.95,70.05,-1.95,"2,688"
105/11/14,"7,117,151","496,754,451",69.95,70.3,69.45,70.1,0.05,"1,670"
105/11/15,"4,015,684","280,809,982",69.8,70.1,69.75,69.9,-0.2,"1,309"
105/11/16,"24,749,610","1,739,238,360",70.2,70.5,69.95,70,0.1,"5,009"
105/11/17,"3,313,486","232,129,391",70,70.2,69.75,70.2,0.2,"1,622"
105/11/18,"2,119,539","148,731,037",70.1,70.4,69.9,70.4,0.2,598
105/11/21,"2,649,990","186,524,490",70.3,70.5,70.1,70.5,0.1,539
105/11/22,"5,293,782","377,011,832",70.75,71.65,70.75,71.45,0.95,"1,725"
105/11/23,"1,907,717","136,841,949",71.5,71.9,71.45,71.8,0.35,710
105/11/24,"2,303,410","164,354,604",71.6,71.6,71.2,71.4,-0.4,676
105/11/25,"2,649,250","189,253,897",71.35,71.65,71.25,71.35,-0.05,581
105/11/28,"2,646,049","189,938,951",71.35,72,71.35,71.75,0.4,788
105/11/29,"1,417,871","101,829,278",71.9,72,71.65,71.65,-0.1,452
105/11/30,"1,918,325","137,591,850",71.7,71.9,71.5,71.7,0.05,595
