"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/05/02","15,728,364","1,183,549,491","75.00","75.40","75.00","75.20","+0.65","2,827",
"106/05/03","4,711,953","355,729,364","75.30","75.65","75.30","75.55","+0.35","1,708",
"106/05/04","3,996,825","301,811,102","75.55","75.65","75.35","75.65","+0.10","1,145",
"106/05/05","5,287,815","397,880,732","75.45","75.45","75.10","75.15","-0.50","1,320",
"106/05/08","4,083,374","308,091,358","75.55","75.70","75.25","75.70","+0.55","1,054",
"106/05/09","4,190,236","319,313,121","75.70","76.50","75.70","75.95","+0.25","1,120",
"106/05/10","1,763,035","134,244,947","76.15","76.35","76.00","76.25","+0.30","638",
"106/05/11","2,018,313","154,148,338","76.10","76.50","76.00","76.50","+0.25","736",
"106/05/12","2,810,989","214,492,626","76.25","76.50","76.15","76.30","-0.20","539",
"106/05/15","1,285,720","98,284,746","76.30","76.55","76.20","76.50","+0.20","539",
"106/05/16","1,598,332","122,092,507","76.50","76.60","76.25","76.50"," 0.00","803",
"106/05/17","1,331,528","101,438,562","76.30","76.40","76.05","76.30","-0.20","476",
"106/05/18","4,271,928","323,392,357","75.65","75.90","75.30","75.90","-0.40","943",
"106/05/19","1,162,847","88,166,922","75.65","75.90","75.65","75.85","-0.05","297",
"106/05/22","2,576,137","195,790,949","75.95","76.15","75.75","76.05","+0.20","761",
"106/05/23","3,844,351","292,887,587","76.05","76.45","76.00","76.35","+0.30","568",
"106/05/24","2,886,268","220,350,338","76.35","76.45","76.25","76.30","-0.05","645",
"106/05/25","4,681,977","360,095,129","76.70","77.00","76.45","77.00","+0.70","1,568",
"106/05/26","4,018,329","308,975,447","77.00","77.15","76.75","76.95","-0.05","598",
"106/05/31","2,701,301","207,172,841","76.95","77.50","76.40","76.50","-0.45","765",

