"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/10/02","3,261,192","265,639,968","81.25","81.60","81.25","81.50","+0.30","931",
"106/10/03","1,578,103","128,664,783","81.55","81.70","81.30","81.50"," 0.00","573",
"106/10/05","6,407,078","524,400,046","81.50","82.10","81.50","81.85","+0.35","851",
"106/10/06","4,126,781","338,645,008","82.10","82.20","81.95","82.10","+0.25","1,028",
"106/10/11","15,975,456","1,328,351,032","82.45","83.40","82.45","83.40","+1.30","5,338",
"106/10/12","8,770,044","736,349,192","83.55","84.20","83.55","84.20","+0.80","3,463",
"106/10/13","3,596,016","301,743,272","83.95","84.05","83.75","84.05","-0.15","1,384",
"106/10/16","4,045,713","340,972,938","84.05","84.50","84.05","84.50","+0.45","1,852",
"106/10/17","3,233,897","273,273,995","84.55","84.70","84.30","84.30","-0.20","1,105",
"106/10/18","4,472,628","378,300,867","84.80","85.00","84.30","84.60","+0.30","1,094",
"106/10/19","2,447,441","208,033,714","84.70","85.20","84.70","84.90","+0.30","895",
"106/10/20","1,725,562","146,031,654","84.40","84.85","84.40","84.55","-0.35","620",
"106/10/23","1,771,858","149,959,192","84.70","84.95","84.45","84.50","-0.05","527",
"106/10/24","1,072,153","90,505,455","84.50","84.50","84.20","84.40","-0.10","408",
"106/10/25","2,416,641","203,863,633","84.30","84.60","84.20","84.35","-0.05","545",
"106/10/26","3,226,482","271,833,233","84.15","84.40","84.00","84.25","-0.10","792",
"106/10/27","2,141,138","180,898,607","84.30","84.75","84.20","84.30","+0.05","561",
"106/10/30","3,357,992","285,709,119","85.10","85.35","84.80","84.95","+0.65","709",
"106/10/31","2,131,434","181,429,580","85.00","85.35","84.80","85.20","+0.25","552",

