"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"107/06/01","1,848,694","150,141,515","80.80","81.45","80.80","81.35","+0.60","818",
"107/06/04","7,081,064","583,108,366","81.80","82.60","81.80","82.60","+1.25","2,675",
"107/06/05","2,695,921","222,338,374","82.70","82.70","82.25","82.50","-0.10","1,361",
"107/06/06","6,398,322","531,456,226","82.65","83.35","82.65","83.30","+0.80","2,988",
"107/06/07","6,704,318","557,849,318","83.50","83.60","83.00","83.45","+0.15","1,499",
"107/06/08","3,469,539","287,811,322","83.30","83.30","82.50","82.55","-0.90","980",
"107/06/11","3,264,375","269,605,262","82.80","82.95","82.40","82.65","+0.10","838",
"107/06/12","2,243,224","184,469,445","82.25","82.50","81.95","82.50","-0.15","697",
"107/06/13","4,668,145","386,299,235","82.45","83.10","82.35","83.00","+0.50","1,475",
"107/06/14","3,564,268","292,513,426","82.50","82.55","81.75","81.75","-1.25","1,517",
"107/06/15","3,862,122","314,683,389","81.60","81.95","81.20","81.95","+0.20","1,377",
"107/06/19","4,994,238","403,588,078","81.10","81.20","80.60","80.60","-1.35","2,728",
"107/06/20","7,866,995","637,796,526","80.65","81.70","80.30","81.50","+0.90","4,099",
"107/06/21","2,134,851","173,683,734","81.50","81.60","81.20","81.25","-0.25","1,305",
"107/06/22","6,482,461","523,157,693","80.80","81.20","80.35","81.15","-0.10","2,708",
"107/06/25","7,993,181","646,507,087","80.85","81.05","80.70","80.90","-0.25","3,482",
"107/06/26","16,434,141","1,320,542,535","80.70","80.70","80.00","80.70","-0.20","7,473",
"107/06/27","8,308,049","668,958,497","80.75","80.90","80.30","80.40","-0.30","3,764",
"107/06/28","12,064,020","965,311,034","80.05","80.40","79.80","80.05","-0.35","4,165",
"107/06/29","6,584,213","532,141,516","80.30","81.55","80.20","81.45","+1.40","3,155",


