"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/12/01","5,620,322","462,116,126","82.15","82.90","81.65","82.60","+0.35","2,376",
"106/12/04","1,503,749","124,232,242","82.65","82.95","82.35","82.90","+0.30","673",
"106/12/05","1,880,132","154,873,413","82.55","82.65","82.20","82.25","-0.65","1,308",
"106/12/06","13,235,403","1,076,016,844","82.10","82.10","80.85","80.85","-1.40","6,470",
"106/12/07","7,309,030","590,253,335","81.20","81.25","80.45","80.90","+0.05","3,451",
"106/12/08","6,280,017","507,950,499","81.50","81.50","80.65","80.90"," 0.00","2,684",
"106/12/11","2,738,995","223,183,119","81.20","81.65","81.20","81.50","+0.60","1,611",
"106/12/12","3,940,646","318,854,886","81.40","81.50","80.55","80.95","-0.55","1,585",
"106/12/13","1,676,999","135,829,186","81.10","81.20","80.90","81.00","+0.05","777",
"106/12/14","2,246,280","183,713,434","81.55","82.00","81.35","81.75","+0.75","882",
"106/12/15","4,077,161","329,949,967","81.65","81.65","80.65","81.10","-0.65","1,649",
"106/12/18","3,842,614","311,718,747","81.20","81.25","80.85","81.20","+0.10","787",
"106/12/19","4,095,098","331,846,488","81.20","81.40","80.70","80.80","-0.40","885",
"106/12/20","4,652,274","376,271,387","80.80","81.10","80.75","81.05","+0.25","1,310",
"106/12/21","1,240,823","100,664,300","81.10","81.35","81.00","81.00","-0.05","521",
"106/12/22","1,644,841","133,059,742","80.80","81.35","80.70","81.30","+0.30","546",
"106/12/25","1,002,933","81,627,136","81.30","81.55","81.30","81.45","+0.15","557",
"106/12/26","2,578,196","208,312,540","81.45","81.45","80.50","80.65","-0.80","1,118",
"106/12/27","3,600,143","290,733,340","80.60","80.90","80.55","80.90","+0.25","675",
"106/12/28","3,094,816","252,391,818","81.25","81.75","81.25","81.70","+0.80","962",
"106/12/29","4,690,296","384,768,069","81.75","82.20","81.75","82.15","+0.45","1,612",


