"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"107/03/01","4,344,220","354,595,798","81.55","81.95","81.15","81.75","-0.60","2,554",
"107/03/02","6,262,361","505,982,082","80.85","81.20","80.45","81.15","-0.60","2,846",
"107/03/05","3,723,757","301,898,098","81.10","81.50","80.65","80.75","-0.40","1,223",
"107/03/06","5,732,204","469,203,518","81.65","82.15","81.60","82.15","+1.40","1,756",
"107/03/07","2,619,161","214,899,152","81.75","82.45","81.70","81.80","-0.35","1,029",
"107/03/08","3,232,583","266,947,148","82.15","82.80","82.15","82.75","+0.95","1,396",
"107/03/09","2,832,064","234,740,002","82.90","83.00","82.70","82.85","+0.10","986",
"107/03/12","8,752,324","735,446,031","83.60","84.25","83.55","84.15","+1.30","2,942",
"107/03/13","9,837,435","831,704,291","84.35","84.95","84.30","84.95","+0.80","3,126",
"107/03/14","3,415,928","287,869,559","84.35","84.45","84.00","84.30","-0.65","1,373",
"107/03/15","3,506,898","295,014,773","84.00","84.30","83.90","84.25","-0.05","1,533",
"107/03/16","5,510,671","460,021,500","84.00","84.20","83.10","83.90","-0.35","1,652",
"107/03/19","2,035,534","170,676,406","83.65","84.10","83.45","83.85","-0.05","892",
"107/03/20","2,895,350","241,726,053","83.20","83.80","83.20","83.80","-0.05","1,019",
"107/03/21","4,891,527","410,076,823","83.80","84.10","83.60","83.85","+0.05","2,337",
"107/03/22","3,429,925","288,139,929","84.00","84.60","83.45","83.55","-0.30","1,608",
"107/03/23","8,259,738","677,767,488","81.85","82.40","81.80","82.10","-1.45","2,816",
"107/03/26","4,369,122","357,831,903","81.85","82.20","81.60","82.20","+0.10","1,837",
"107/03/27","3,277,568","272,571,549","83.00","83.40","82.95","83.40","+1.20","1,015",
"107/03/28","4,161,192","343,127,725","82.90","82.90","82.20","82.25","-1.15","1,306",
"107/03/29","4,099,855","336,213,829","82.25","82.35","81.80","82.10","-0.15","1,127",
"107/03/30","4,994,090","414,075,827","82.65","83.05","82.65","82.85","+0.75","1,285",
"107/03/31","878,295","72,801,339","82.85","83.05","82.75","82.95","+0.10","495",

