"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"108/02/11","6,614,900","497,844,612","75.35","75.65","74.85","75.15","+0.80","3,137",
"108/02/12","6,164,150","465,816,739","75.35","75.75","75.35","75.65","+0.50","2,980",
"108/02/13","4,157,700","314,193,830","75.95","75.95","75.40","75.50","-0.15","1,837",
"108/02/14","3,641,542","274,887,735","75.50","75.75","75.25","75.25","-0.25","1,593",
"108/02/15","3,516,111","264,409,753","75.30","75.60","74.90","75.05","-0.20","1,796",
"108/02/18","6,596,163","499,575,240","75.50","75.90","75.50","75.65","+0.60","3,143",
"108/02/19","2,862,069","216,303,714","75.70","75.70","75.50","75.50","-0.15","2,168",
"108/02/20","34,307,853","2,619,961,938","75.90","76.50","75.90","76.35","+0.85","9,607",
"108/02/21","18,664,815","1,433,791,393","76.40","77.10","76.40","77.10","+0.75","4,467",
"108/02/22","9,881,017","758,887,009","76.95","76.95","76.50","76.95","-0.15","6,936",
"108/02/25","19,365,354","1,501,862,131","77.35","77.75","77.30","77.50","+0.55","4,458",
"108/02/26","15,903,051","1,234,156,605","77.65","77.80","77.30","77.70","+0.20","5,707",
"108/02/27","12,907,489","1,000,792,293","77.70","77.70","77.35","77.65","-0.05","3,460",

