"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/01/03","2,331,431","167,301,490","71.70","71.90","71.50","71.90","+0.10","451",
"106/01/04","4,284,195","308,177,877","72.00","72.10","71.75","71.85","-0.05","614",
"106/01/05","4,573,600","330,422,521","71.85","72.50","71.80","72.50","+0.65","1,236",
"106/01/06","3,752,998","272,387,663","72.45","72.75","72.45","72.65","+0.15","980",
"106/01/09","5,038,290","366,344,482","72.75","72.95","72.30","72.45","-0.20","1,057",
"106/01/10","1,857,853","134,624,612","72.45","72.60","72.40","72.40","-0.05","422",
"106/01/11","1,898,053","137,621,077","72.80","72.85","72.40","72.40"," 0.00","589",
"106/01/12","4,857,459","354,847,738","72.60","73.30","72.60","73.15","+0.75","1,399",
"106/01/13","3,909,860","284,091,239","72.80","72.80","72.60","72.60","-0.55","835",
"106/01/16","2,418,439","174,145,772","72.40","72.40","71.80","72.00","-0.60","881",
"106/01/17","1,572,741","113,686,311","72.00","72.40","72.00","72.30","+0.30","494",
"106/01/18","3,837,818","276,891,011","72.20","72.20","72.05","72.15","-0.15","679",
"106/01/19","4,065,559","292,416,114","71.85","72.10","71.60","71.95","-0.20","665",
"106/01/20","2,422,174","174,730,158","71.95","72.25","71.95","72.15","+0.20","1,433",
"106/01/23","5,965,089","434,672,631","72.55","73.00","72.55","72.75","+0.60","1,534",
"106/01/24","4,575,104","334,830,127","73.00","73.30","72.90","73.30","+0.55","1,858",


