"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/02/02","6,999,147","511,783,003","73.50","73.65","72.75","72.90","-0.40","1,808",
"106/02/03","2,809,194","204,726,612","72.95","73.15","72.65","72.85","-0.05","1,203",
"106/02/06","2,947,246","215,765,564","73.00","73.40","72.95","73.25","+0.40","1,195",
"106/02/07","4,305,232","315,681,749","73.10","73.45","73.10","73.30","+0.05","1,897",
"106/02/08","4,433,939","317,740,281","71.90","71.90","71.35","71.75","X0.00","2,095",
"106/02/09","3,548,420","255,343,191","71.75","72.20","71.65","72.00","+0.25","857",
"106/02/10","4,869,787","353,758,401","72.10","72.95","72.10","72.80","+0.80","1,148",
"106/02/13","3,330,147","243,215,631","72.80","73.10","72.80","72.95","+0.15","924",
"106/02/14","6,071,668","445,062,006","73.40","73.50","73.10","73.20","+0.25","1,379",
"106/02/15","9,407,004","692,431,969","73.30","73.90","73.20","73.90","+0.70","2,298",
"106/02/16","5,466,631","402,438,648","74.00","74.20","73.35","73.45","-0.45","1,713",
"106/02/17","5,192,773","381,393,148","73.65","73.70","73.35","73.35","-0.10","1,184",
"106/02/18","3,227,803","237,095,308","73.30","73.55","73.20","73.50","+0.15","1,190",
"106/02/20","2,802,606","205,434,206","73.55","73.65","73.10","73.10","-0.40","1,401",
"106/02/21","3,337,389","244,318,096","73.20","73.40","73.05","73.25","+0.15","527",
"106/02/22","2,938,397","215,548,987","73.60","73.70","73.15","73.30","+0.05","484",
"106/02/23","2,332,442","170,965,930","73.25","73.55","73.10","73.10","-0.20","571",
"106/02/24","1,844,790","134,857,020","73.05","73.30","72.85","73.15","+0.05","615",


