"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/04/05","3,594,368","267,911,149","73.95","74.80","73.95","74.65","+0.95","1,177",
"106/04/06","2,811,150","209,240,706","74.80","74.80","74.30","74.40","-0.25","880",
"106/04/07","1,889,165","139,505,932","74.30","74.30","73.40","74.10","-0.30","887",
"106/04/10","1,060,789","78,625,981","74.10","74.25","74.00","74.20","+0.10","394",
"106/04/11","1,266,959","93,779,536","74.10","74.40","73.75","73.90","-0.30","647",
"106/04/12","1,940,147","143,460,184","73.90","74.10","73.65","74.05","+0.15","802",
"106/04/13","6,004,675","446,309,468","73.90","74.45","73.90","74.40","+0.35","877",
"106/04/14","2,674,280","196,994,842","73.90","73.90","73.50","73.55","-0.85","1,263",
"106/04/17","5,339,490","393,147,347","73.55","73.80","73.35","73.60","+0.05","1,008",
"106/04/18","4,099,924","302,371,805","73.85","74.00","73.50","73.60"," 0.00","671",
"106/04/19","9,185,446","669,532,623","73.10","73.25","72.65","72.80","-0.80","3,402",
"106/04/20","3,142,256","228,422,188","72.55","72.90","72.50","72.80"," 0.00","1,420",
"106/04/21","3,247,213","238,184,129","73.25","73.50","73.10","73.50","+0.70","1,035",
"106/04/24","4,309,464","317,407,130","73.90","73.95","73.45","73.65","+0.15","896",
"106/04/25","5,698,061","422,598,229","73.85","74.40","73.70","74.35","+0.70","1,525",
"106/04/26","4,117,953","307,089,866","74.70","74.70","74.40","74.55","+0.20","953",
"106/04/27","3,685,290","273,944,187","74.35","74.50","74.15","74.50","-0.05","734",
"106/04/28","4,423,100","329,448,991","74.50","74.60","74.30","74.55","+0.05","938",


