ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/05/03,"9,711,627","591,944,096",61.6,61.6,60.7,60.75,-0.85,"4,271"
105/05/04,"14,504,138","873,689,263",60.75,60.85,59.8,60.1,-0.65,"5,844"
105/05/05,"14,591,369","873,837,755",60.1,60.25,59.65,60.2,0.1,"4,651"
105/05/06,"22,004,644","1,312,341,590",60,60,59.45,59.7,-0.5,"4,243"
105/05/09,"14,499,071","865,314,510",59.9,60,59.4,59.7,0,"3,032"
105/05/10,"13,152,643","786,853,240",59.7,60.2,59.4,60,0.3,"3,771"
105/05/11,"19,053,550","1,140,114,831",60.2,60.3,59.55,59.85,-0.15,"4,160"
105/05/12,"13,397,317","801,007,370",59.7,60,59.65,59.8,-0.05,"2,080"
105/05/13,"29,668,619","1,756,484,413",59.55,59.55,59,59.15,-0.65,"6,218"
105/05/16,"6,645,541","395,168,030",59.15,59.7,59.1,59.6,0.45,"1,544"
105/05/17,"12,344,892","736,147,664",59.65,60.1,59.25,60.05,0.45,"2,582"
105/05/18,"8,579,957","512,035,693",59.7,60,59.25,59.95,-0.1,"2,036"
105/05/19,"8,050,497","479,673,191",60,60.05,59.3,59.65,-0.3,"1,960"
105/05/20,"8,126,104","487,897,879",59.85,60.3,59.6,60,0.35,"2,303"
105/05/23,"21,664,315","1,324,826,930",60.1,62,59.85,62,2,"5,021"
105/05/24,"6,417,840","395,104,208",61.75,61.85,61.35,61.35,-0.65,"1,841"
105/05/25,"25,858,751","1,604,437,512",61.75,62.25,61.75,62,0.65,"3,726"
105/05/26,"26,044,897","1,616,085,071",62.05,62.15,61.8,62.15,0.15,"2,207"
105/05/27,"25,759,714","1,608,299,432",62.4,62.65,62.2,62.6,0.45,"3,211"
105/05/30,"26,912,233","1,692,323,404",62.6,63.35,62.5,63.15,0.55,"3,555"
105/05/31,"8,678,987","547,637,441",63.05,63.35,62.8,63.15,0,"2,005"
