"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/11/01","1,313,748","111,897,404","85.35","85.40","84.95","85.10","-0.10","430",
"106/11/02","1,562,537","132,638,338","84.95","85.05","84.70","84.80","-0.30","479",
"106/11/03","1,455,869","123,451,696","84.95","85.05","84.60","84.70","-0.10","483",
"106/11/06","1,573,301","133,589,185","85.20","85.30","84.60","84.85","+0.15","749",
"106/11/07","2,211,471","188,228,636","85.00","85.30","84.85","85.30","+0.45","827",
"106/11/08","809,880","68,867,950","85.20","85.20","84.95","84.95","-0.35","399",
"106/11/09","1,258,299","106,726,777","84.95","85.05","84.40","84.40","-0.55","562",
"106/11/10","923,206","77,817,461","84.30","84.55","83.95","84.55","+0.15","552",
"106/11/13","979,282","82,529,190","84.25","84.40","84.20","84.30","-0.25","552",
"106/11/14","1,015,799","85,431,374","84.30","84.30","83.95","84.15","-0.15","620",
"106/11/15","6,270,191","523,327,685","83.80","83.85","83.15","83.30","-0.85","2,923",
"106/11/16","2,176,812","181,765,196","83.30","83.75","83.20","83.60","+0.30","1,253",
"106/11/17","7,196,119","606,871,857","84.30","84.45","84.15","84.35","+0.75","1,336",
"106/11/20","2,301,024","193,525,979","84.40","84.45","83.90","84.00","-0.35","1,105",
"106/11/21","4,469,688","376,042,144","83.90","84.80","83.90","84.75","+0.75","1,019",
"106/11/22","4,913,723","419,446,227","85.15","85.60","84.90","85.15","+0.40","1,676",
"106/11/23","1,552,051","132,161,764","85.15","85.35","84.95","85.20","+0.05","597",
"106/11/24","1,068,534","91,012,427","85.25","85.30","84.95","85.15","-0.05","530",
"106/11/27","2,127,304","179,561,728","85.15","85.15","84.10","84.15","-1.00","899",
"106/11/28","2,007,123","167,971,263","83.95","84.00","83.50","83.60","-0.55","1,014",
"106/11/29","1,381,859","115,678,483","83.65","83.95","83.55","83.70","+0.10","559",
"106/11/30","8,038,492","663,634,455","83.00","83.00","82.25","82.25","-1.45","2,887",


