"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"107/05/02","5,513,498","439,622,305","80.05","80.15","79.40","79.40","-0.60","2,584",
"107/05/03","8,823,434","694,073,004","79.05","79.05","78.35","78.55","-0.85","4,248",
"107/05/04","3,475,423","273,248,775","78.55","79.00","78.40","78.95","+0.40","1,860",
"107/05/07","3,858,382","305,849,245","79.50","79.55","78.80","79.50","+0.55","1,752",
"107/05/08","5,352,116","427,504,370","79.40","80.05","79.35","80.00","+0.50","2,272",
"107/05/09","3,359,022","270,071,272","80.00","80.55","80.00","80.45","+0.45","1,914",
"107/05/10","5,977,304","481,662,488","80.70","80.70","80.45","80.65","+0.20","3,239",
"107/05/11","17,654,297","1,436,892,102","81.10","81.70","81.05","81.60","+0.95","6,364",
"107/05/14","17,197,686","1,414,607,650","82.00","82.60","81.90","82.50","+0.90","6,171",
"107/05/15","7,222,482","592,065,703","82.35","82.40","81.65","81.65","-0.85","2,449",
"107/05/16","8,293,601","677,320,569","81.45","81.80","81.40","81.75","+0.10","2,922",
"107/05/17","1,940,778","158,110,701","81.95","82.00","81.20","81.20","-0.55","1,009",
"107/05/18","2,360,712","191,353,462","81.20","81.50","80.85","80.95","-0.25","1,051",
"107/05/21","3,889,661","318,673,185","81.20","82.10","81.20","82.05","+1.10","1,717",
"107/05/22","1,837,449","150,711,615","81.80","82.30","81.75","81.75","-0.30","834",
"107/05/23","2,124,373","173,329,337","81.90","82.00","81.30","81.35","-0.40","663",
"107/05/24","1,135,324","92,525,577","81.35","81.70","81.25","81.55","+0.20","460",
"107/05/25","3,115,748","254,971,743","81.55","82.05","81.40","81.85","+0.30","1,454",
"107/05/28","2,940,383","241,485,608","82.05","82.25","82.00","82.20","+0.35","1,601",
"107/05/29","1,388,540","113,427,981","82.20","82.20","81.50","81.85","-0.35","580",
"107/05/30","6,177,819","497,863,690","81.40","81.40","80.30","80.40","-1.45","3,017",
"107/05/31","1,605,922","129,628,697","80.80","80.95","80.55","80.75","+0.35","733",


