"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"107/04/02","3,737,299","307,813,730","82.85","82.95","82.15","82.25","-0.70","1,099",
"107/04/03","6,187,523","503,435,586","81.50","81.55","81.20","81.50","-0.75","2,624",
"107/04/09","3,401,430","278,923,482","82.15","82.30","81.60","82.20","+0.70","1,167",
"107/04/10","3,860,497","318,719,411","82.10","82.85","81.75","82.50","+0.30","1,039",
"107/04/11","2,603,653","215,930,349","82.90","83.10","82.75","82.85","+0.35","1,252",
"107/04/12","3,591,573","296,423,097","83.05","83.15","82.25","82.50","-0.35","1,267",
"107/04/13","2,982,732","246,303,554","82.70","82.80","82.30","82.50"," 0.00","792",
"107/04/16","1,809,198","148,796,053","82.65","82.65","82.00","82.30","-0.20","761",
"107/04/17","4,325,040","352,876,030","82.40","82.40","81.35","81.40","-0.90","2,223",
"107/04/18","3,739,837","305,624,331","81.60","82.10","81.35","81.60","+0.20","1,306",
"107/04/19","4,461,269","367,816,687","81.90","82.65","81.90","82.65","+1.05","1,200",
"107/04/20","9,017,715","728,325,834","81.00","81.10","80.50","80.75","-1.90","3,705",
"107/04/23","10,624,780","850,769,704","80.25","80.45","79.90","79.95","-0.80","5,274",
"107/04/24","16,867,787","1,341,875,510","79.90","79.95","79.05","79.55","-0.40","6,924",
"107/04/25","16,460,997","1,301,833,349","79.25","79.30","78.80","79.30","-0.25","7,679",
"107/04/26","16,485,778","1,305,124,761","79.70","79.70","78.80","79.05","-0.25","6,863",
"107/04/27","12,395,611","979,827,894","79.60","79.65","78.80","79.20","+0.15","4,730",
"107/04/30","6,516,983","519,421,423","79.65","80.15","79.05","80.00","+0.80","2,677",


