ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/04/01,"4,654,364","297,564,556",64.25,64.35,63.6,63.9,-0.75,"1,775"
105/04/06,"8,957,175","560,162,916",63.3,63.3,62.35,62.4,-1.5,"3,518"
105/04/07,"20,224,614","1,253,001,981",62.5,62.5,61.6,62.15,-0.25,"6,513"
105/04/08,"6,752,732","421,875,102",61.8,62.8,61.8,62.75,0.6,"1,520"
105/04/11,"5,355,410","335,884,631",62.5,63.1,62.15,63,0.25,"1,319"
105/04/12,"2,753,865","173,786,257",63.05,63.5,62.75,62.95,-0.05,"1,104"
105/04/13,"11,846,507","757,327,171",63.25,64.2,63.25,64.05,1.1,"3,097"
105/04/14,"8,125,157","522,525,255",64.4,64.6,64.1,64.25,0.2,"1,959"
105/04/15,"11,673,490","749,214,184",63.8,64.3,63.55,64.25,0,"1,191"
105/04/18,"2,145,729","137,218,318",64.05,64.2,63.85,63.85,-0.4,670
105/04/19,"5,841,194","374,245,967",64.3,64.65,63.5,63.6,-0.25,"1,528"
105/04/20,"8,981,513","565,820,758",63.5,64.1,62.55,62.65,-0.95,"2,726"
105/04/21,"3,097,142","194,853,411",62.9,63.15,62.55,62.95,0.3,"1,153"
105/04/22,"2,685,186","169,439,838",62.95,63.4,62.8,63.2,0.25,890
105/04/25,"2,864,460","181,072,322",63.2,63.35,62.9,63.25,0.05,672
105/04/26,"4,894,769","311,241,971",63.1,63.9,63.1,63.5,0.25,888
105/04/27,"2,470,120","156,496,475",63.2,63.6,63,63.4,-0.1,752
105/04/28,"10,321,711","645,803,565",63.5,63.55,62.15,62.4,-1,"2,365"
105/04/29,"7,266,758","447,869,046",61.85,62,61.35,61.6,-0.8,"3,113"
