"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"107/12/03","13,850,986","1,088,593,094","77.85","79.00","77.80","78.80","+2.05","7,537",
"107/12/04","4,118,284","322,426,648","78.50","78.50","78.10","78.25","-0.55","1,960",
"107/12/05","9,636,366","740,544,550","77.10","77.20","76.65","76.65","-1.60","3,602",
"107/12/06","20,347,421","1,529,965,270","75.85","75.85","74.85","75.10","-1.55","10,519",
"107/12/07","6,781,008","512,288,502","75.60","75.75","75.30","75.45","+0.35","4,623",
"107/12/10","13,013,284","970,567,677","74.50","74.90","74.45","74.45","-1.00","5,810",
"107/12/11","5,316,228","397,657,901","74.50","75.10","74.45","75.05","+0.60","2,808",
"107/12/12","8,677,695","658,099,872","75.65","76.25","75.40","76.20","+1.15","3,377",
"107/12/13","6,253,580","476,968,419","76.20","76.50","75.95","76.30","+0.10","2,176",
"107/12/14","8,780,839","660,320,971","75.80","75.80","74.95","75.35","-0.95","3,141",
"107/12/17","5,652,433","428,269,261","75.35","76.05","75.15","75.95","+0.60","2,331",
"107/12/18","7,669,001","577,586,400","75.50","75.55","75.05","75.30","-0.65","2,456",
"107/12/19","4,497,460","340,689,657","75.50","75.95","75.35","75.90","+0.60","2,646",
"107/12/20","9,561,713","718,960,366","75.00","75.55","75.00","75.05","-0.85","5,731",
"107/12/21","8,481,143","634,702,156","74.95","75.25","74.45","75.20","+0.15","2,776",
"107/12/22","3,002,630","224,452,101","74.85","74.85","74.70","74.85","-0.35","1,475",
"107/12/24","5,952,329","444,475,204","74.85","75.00","74.55","74.70","-0.15","4,513",
"107/12/25","12,071,254","888,095,346","74.15","74.15","73.30","73.75","-0.95","5,738",
"107/12/26","8,919,969","658,916,682","74.00","74.30","73.50","73.55","-0.20","3,788",
"107/12/27","9,615,359","719,358,543","74.80","75.15","74.50","75.05","+1.50","5,522",
"107/12/28","4,629,875","348,222,242","75.10","75.50","74.85","75.50","+0.45","2,008",

