"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"108/04/01","11,053,405","886,568,240","80.00","80.40","79.60","79.85","+0.70","3,749",
"108/04/02","5,605,092","449,896,022","80.10","80.45","80.10","80.15","+0.30","2,132",
"108/04/03","6,867,174","550,702,889","80.40","80.45","79.95","80.15"," 0.00","3,017",
"108/04/08","7,990,782","646,213,579","80.80","81.00","80.70","80.90","+0.75","3,458",
"108/04/09","15,272,047","1,239,718,747","80.95","81.40","80.85","81.40","+0.50","6,181",
"108/04/10","10,863,161","883,369,153","81.10","81.55","81.10","81.50","+0.10","3,214",
"108/04/11","8,272,430","671,920,398","81.35","81.55","80.90","81.15","-0.35","2,220",
"108/04/12","7,498,409","608,347,094","81.15","81.30","81.00","81.10","-0.05","1,806",
"108/04/15","7,681,554","628,500,222","81.65","82.00","81.55","81.85","+0.75","4,160",
"108/04/16","7,767,931","637,026,518","81.85","82.15","81.80","82.10","+0.25","3,439",
"108/04/17","23,104,837","1,911,820,959","82.30","82.90","82.30","82.75","+0.65","5,342",
"108/04/18","20,690,365","1,716,538,233","82.90","83.35","82.45","82.70","-0.05","3,185",
"108/04/19","12,515,659","1,038,666,179","83.25","83.50","82.70","82.80","+0.10","2,347",
"108/04/22","2,874,312","238,232,670","83.00","83.10","82.65","82.70","-0.10","1,478",
"108/04/23","6,012,031","498,598,254","82.70","83.20","82.55","83.05","+0.35","2,105",
"108/04/24","3,108,556","258,856,445","83.40","83.55","82.90","83.20","+0.15","1,665",
"108/04/25","3,529,039","293,890,589","83.10","83.45","83.00","83.40","+0.20","1,588",
"108/04/26","3,815,090","314,520,959","82.80","82.80","82.20","82.45","-0.95","2,520",
"108/04/29","3,161,957","261,464,012","82.60","82.95","82.50","82.80","+0.35","1,462",
"108/04/30","3,247,891","268,471,136","82.80","82.90","82.40","82.80"," 0.00","1,525",


