ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/07/01,"30,668,430","2,028,998,931",65.85,66.4,65.65,66.25,0.8,"4,916"
105/07/04,"9,989,687","663,821,426",66.1,66.75,66,66.3,0.05,"2,263"
105/07/05,"5,997,962","396,552,787",66.2,66.25,65.85,66.1,-0.2,"1,503"
105/07/06,"8,730,638","566,691,370",65.6,65.6,64.7,64.9,-1.2,"2,196"
105/07/07,"6,587,558","431,861,376",65.45,65.75,65.35,65.7,0.8,"2,000"
105/07/11,"22,208,282","1,487,829,658",66.7,67.25,66.7,67,1.3,"3,641"
105/07/12,"15,397,426","1,038,392,338",67.15,67.6,67.15,67.6,0.6,"3,020"
105/07/13,"9,434,916","636,854,896",67.85,67.9,67.1,67.65,0.05,"3,174"
105/07/14,"10,109,848","684,176,798",67.5,67.85,67.3,67.7,0.05,"2,189"
105/07/15,"15,543,146","1,061,294,189",67.8,68.5,67.8,68.5,0.8,"3,608"
105/07/18,"36,847,905","2,537,886,845",68.45,69.15,68.45,69.15,0.65,"4,314"
105/07/19,"17,045,587","1,179,010,803",69.2,69.3,68.8,69.25,0.1,"2,165"
105/07/20,"24,718,112","1,708,767,278",69,69.3,68.8,69.2,-0.05,"3,976"
105/07/21,"9,980,071","695,900,887",69.45,69.9,69.35,69.55,0.35,"2,239"
105/07/22,"3,265,094","226,629,026",69.55,69.7,69.2,69.3,-0.25,"1,280"
105/07/25,"11,676,473","804,812,087",69.5,69.95,68.35,69,-0.3,"1,939"
105/07/26,"13,212,330","913,810,372",69,69.4,68.85,69.4,0.4,"1,815"
105/07/27,"11,118,196","775,555,930",69.65,69.95,69.5,69.7,0.3,"2,026"
105/07/28,"11,452,443","790,887,453",69,69.25,68.6,69.05,X0.00,"1,682"
105/07/29,"19,390,373","1,335,212,572",68.85,69.2,68.55,68.55,-0.5,"3,355"
