"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/03/01","3,107,350","225,726,160","73.10","73.10","72.35","72.35","-0.80","1,270",
"106/03/02","7,057,872","512,240,160","72.95","73.25","72.25","72.55","+0.20","1,735",
"106/03/03","4,410,226","318,135,638","72.30","72.35","72.00","72.10","-0.45","1,751",
"106/03/06","2,177,363","157,105,795","72.05","72.25","72.00","72.15","+0.05","882",
"106/03/07","2,027,296","146,868,581","72.25","72.60","72.25","72.45","+0.30","833",
"106/03/08","2,182,147","158,530,106","72.65","72.85","72.45","72.85","+0.40","842",
"106/03/09","3,381,395","243,825,130","72.60","72.60","71.95","72.05","-0.80","1,599",
"106/03/10","5,423,285","389,031,634","71.95","72.05","71.55","72.00","-0.05","1,558",
"106/03/13","2,515,382","182,074,433","72.15","72.50","72.15","72.50","+0.50","779",
"106/03/14","3,948,353","287,952,737","72.60","73.10","72.60","73.00","+0.50","1,207",
"106/03/15","3,490,372","254,234,206","72.80","73.00","72.60","72.85","-0.15","1,293",
"106/03/16","7,545,149","555,972,274","73.30","73.85","73.30","73.80","+0.95","2,754",
"106/03/17","5,265,875","389,526,850","73.85","74.10","73.75","74.00","+0.20","2,375",
"106/03/20","5,073,186","375,539,714","73.95","74.15","73.85","73.95","-0.05","1,028",
"106/03/21","8,511,270","634,988,551","74.30","74.90","74.30","74.90","+0.95","1,843",
"106/03/22","4,939,975","366,163,705","74.25","74.25","74.00","74.20","-0.70","1,268",
"106/03/23","4,105,955","305,444,615","74.60","74.65","74.15","74.35","+0.15","687",
"106/03/24","3,308,120","245,456,942","74.35","74.40","74.10","74.25","-0.10","548",
"106/03/27","2,474,340","183,601,806","74.00","74.40","73.85","74.20","-0.05","582",
"106/03/28","5,565,534","413,437,983","74.55","74.60","73.95","74.25","+0.05","1,726",
"106/03/29","2,464,193","182,878,025","74.45","74.50","74.00","74.00","-0.25","551",
"106/03/30","2,181,458","161,500,292","74.00","74.25","73.90","73.90","-0.10","424",
"106/03/31","2,008,887","148,377,572","73.95","74.10","73.70","73.70","-0.20","614",


