"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"108/03/04","8,469,570","652,787,218","77.55","77.55","76.70","76.95","-0.70","4,887",
"108/03/05","9,400,493","720,525,122","76.60","76.90","76.45","76.75","-0.20","2,830",
"108/03/06","19,579,792","1,505,450,934","76.85","77.05","76.75","76.95","+0.20","3,193",
"108/03/07","18,239,770","1,399,918,017","76.90","77.05","76.60","76.65","-0.30","1,946",
"108/03/08","9,975,200","758,523,703","76.20","76.35","75.80","76.00","-0.65","2,853",
"108/03/11","4,642,390","352,680,831","75.85","76.15","75.70","76.15","+0.15","2,280",
"108/03/12","13,857,468","1,070,170,012","76.85","77.45","76.80","77.25","+1.10","3,796",
"108/03/13","10,148,529","781,685,019","77.05","77.20","76.80","77.10","-0.15","1,763",
"108/03/14","5,208,756","402,155,617","77.30","77.40","76.95","77.05","-0.05","1,343",
"108/03/15","11,483,751","890,275,774","77.35","77.70","77.15","77.60","+0.55","3,164",
"108/03/18","12,218,708","952,368,177","77.75","78.10","77.65","78.10","+0.50","4,228",
"108/03/19","8,604,296","672,547,372","78.10","78.40","77.85","78.40","+0.30","2,634",
"108/03/20","11,856,027","929,902,949","78.35","78.55","78.20","78.50","+0.10","4,868",
"108/03/21","11,341,213","894,798,086","78.80","79.15","78.65","79.15","+0.65","3,766",
"108/03/22","6,930,357","550,253,696","79.50","79.70","79.05","79.35","+0.20","2,993",
"108/03/25","7,020,756","548,329,150","78.10","78.35","78.00","78.15","-1.20","2,790",
"108/03/26","2,700,090","212,178,105","78.50","78.70","78.40","78.65","+0.50","1,328",
"108/03/27","2,555,684","200,669,301","78.45","78.70","78.20","78.50","-0.15","959",
"108/03/28","3,415,432","267,952,933","78.30","78.60","78.15","78.50"," 0.00","977",
"108/03/29","5,680,484","448,318,722","78.70","79.15","78.25","79.15","+0.65","1,629",


