"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"107/09/03","3,670,077","318,489,642","86.95","87.20","86.40","86.45","-0.50","1,852",
"107/09/04","2,357,725","204,511,025","86.80","87.00","86.45","87.00","+0.55","1,553",
"107/09/05","2,496,308","217,228,848","87.00","87.30","86.70","87.00"," 0.00","1,053",
"107/09/06","1,945,889","168,384,874","86.90","86.90","86.20","86.50","-0.50","1,168",
"107/09/07","2,505,908","216,029,254","86.20","86.45","86.00","86.40","-0.10","1,256",
"107/09/10","5,319,281","457,230,691","86.60","86.60","85.65","86.00","-0.40","2,224",
"107/09/11","19,525,404","1,672,322,444","85.95","86.00","85.40","85.65","-0.35","7,801",
"107/09/12","18,583,973","1,588,075,828","85.85","85.90","85.25","85.55","-0.10","7,809",
"107/09/13","20,996,200","1,789,506,288","85.80","85.80","84.90","84.95","-0.60","9,849",
"107/09/14","8,616,375","741,763,887","85.75","86.50","85.60","86.50","+1.55","3,095",
"107/09/17","8,988,960","773,023,506","86.50","86.50","85.70","85.85","-0.65","2,440",
"107/09/18","6,140,571","524,809,750","85.60","85.70","85.20","85.40","-0.45","2,243",
"107/09/19","6,881,627","591,822,766","85.80","86.30","85.70","86.15","+0.75","3,226",
"107/09/20","4,159,776","357,894,112","86.45","86.55","85.80","85.90","-0.25","1,030",
"107/09/21","7,370,439","636,825,668","86.25","86.85","85.90","86.85","+0.95","2,626",
"107/09/25","7,506,252","652,734,924","86.65","87.15","86.60","87.10","+0.25","2,984",
"107/09/26","8,036,503","698,254,201","86.90","87.00","86.75","86.90","-0.20","2,692",
"107/09/27","27,800,036","2,423,747,411","86.60","87.45","86.60","87.35","+0.45","8,114",
"107/09/28","13,202,371","1,151,404,227","87.35","87.65","86.60","86.90","-0.45","4,328",


