ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/12/01,"1,955,817","140,730,135",71.6,72.1,71.6,72,0.3,666
105/12/02,"3,307,698","235,128,806",71.2,71.2,70.9,71.2,-0.8,736
105/12/05,"1,388,169","98,576,875",71.2,71.2,70.8,71.1,-0.1,367
105/12/06,"2,435,954","175,403,601",71.8,72.2,71.75,72,0.9,768
105/12/07,"1,467,377","105,807,162",72.2,72.35,71.9,72,0,475
105/12/08,"6,085,595","442,984,227",72.3,73,72.3,72.9,0.9,"1,529"
105/12/09,"5,418,281","395,994,807",73.05,73.2,72.95,73.15,0.25,"1,389"
105/12/12,"3,208,556","234,598,867",73.3,73.55,72.75,72.85,-0.3,"1,319"
105/12/13,"2,548,640","185,727,920",72.85,73,72.65,72.95,0.1,888
105/12/14,"2,827,980","206,668,707",73.2,73.3,72.9,73.1,0.15,"1,333"
105/12/15,"3,017,786","219,455,120",72.55,73,72.4,73,-0.1,548
105/12/16,"2,148,428","155,907,874",72.8,72.8,72.3,72.3,-0.7,491
105/12/19,"2,680,960","193,048,170",72.25,72.3,71.85,71.85,-0.45,892
105/12/20,"2,029,791","145,668,837",71.95,71.95,71.55,71.75,-0.1,634
105/12/21,"9,321,197","668,442,424",71.75,71.85,71.5,71.7,-0.05,"2,904"
105/12/22,"4,971,537","352,951,027",71.55,71.55,70.8,70.8,-0.9,"2,011"
105/12/23,"5,125,956","361,673,215",70.6,70.85,70.35,70.55,-0.25,"1,671"
105/12/26,"2,104,929","148,795,659",70.65,70.8,70.55,70.8,0.25,740
105/12/27,"2,494,279","176,416,611",70.8,70.9,70.65,70.75,-0.05,613
105/12/28,"3,686,010","263,088,848",70.85,71.6,70.85,71.6,0.85,885
105/12/29,"1,911,106","136,351,033",71.45,71.45,71.2,71.25,-0.35,685
105/12/30,"2,726,453","195,669,616",71.65,72,71.55,71.8,0.55,660
