ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/02/01,"7,967,600","473,078,587",59.5,59.6,59.1,59.55,0,"2,732"
105/02/02,"4,584,277","272,135,216",59.45,59.55,59,59.35,-0.2,"1,748"
105/02/03,"6,990,419","412,038,146",59,59.25,58.6,58.95,-0.4,"2,624"
105/02/15,"7,221,411","424,601,837",58.3,59.1,58.1,59,0.05,"2,176"
105/02/16,"17,822,419","1,067,789,029",59.1,60.35,59.1,60.25,1.25,"4,926"
105/02/17,"12,473,522","750,453,287",60.4,60.5,59.95,59.95,-0.3,"3,478"
105/02/18,"16,986,739","1,034,524,645",60.8,61.15,60.5,60.9,0.95,"4,462"
105/02/19,"11,352,431","690,604,191",60.8,61.05,60.6,60.85,-0.05,"4,864"
105/02/22,"11,614,403","710,868,283",60.85,61.6,60.55,60.8,-0.05,"2,553"
105/02/23,"4,916,180","299,142,784",61,61.15,60.7,60.85,0.05,"1,464"
105/02/24,"7,764,348","471,747,151",60.8,61.3,60.2,60.3,-0.55,"2,535"
105/02/25,"16,933,970","1,033,960,315",60.6,61.35,60.5,61.1,0.8,"3,204"
