"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/08/01","2,642,390","216,364,087","82.15","82.15","81.55","81.80","+0.45","732",
"106/08/02","5,045,458","415,944,445","82.00","82.65","82.00","82.50","+0.70","1,221",
"106/08/03","4,029,108","330,913,722","81.85","82.35","81.70","82.20","-0.30","827",
"106/08/04","1,143,998","94,089,503","82.15","82.35","82.05","82.35","+0.15","427",
"106/08/07","4,108,819","340,304,464","82.45","83.00","82.45","82.95","+0.60","1,251",
"106/08/08","2,985,746","247,502,919","83.05","83.25","82.55","82.90","-0.05","728",
"106/08/09","3,122,228","256,746,634","82.55","82.60","82.05","82.15","-0.75","1,325",
"106/08/10","3,168,994","258,728,506","82.35","82.45","81.35","81.60","-0.55","1,480",
"106/08/11","2,747,290","222,731,207","80.85","81.35","80.75","81.25","-0.35","1,267",
"106/08/14","2,245,412","182,056,872","81.45","81.60","80.75","80.75","-0.50","1,259",
"106/08/15","2,708,861","220,017,887","81.30","81.50","80.95","81.30","+0.55","1,240",
"106/08/16","6,282,836","507,696,840","81.15","81.25","80.60","81.00","-0.30","3,347",
"106/08/17","1,968,802","160,481,161","81.25","81.70","81.15","81.65","+0.65","1,359",
"106/08/18","2,315,643","187,445,943","81.00","81.15","80.65","81.15","-0.50","1,477",
"106/08/21","2,050,279","166,059,249","81.05","81.20","80.75","81.05","-0.10","1,214",
"106/08/22","3,986,645","326,026,244","81.45","81.90","81.45","81.85","+0.80","1,808",
"106/08/23","5,504,507","451,486,956","82.00","82.25","81.75","81.75","-0.10","1,548",
"106/08/24","3,487,871","287,289,732","81.85","82.55","81.85","82.55","+0.80","1,621",
"106/08/25","2,614,758","216,110,040","82.65","82.75","82.40","82.70","+0.15","1,497",
"106/08/28","2,773,226","229,032,672","82.70","82.80","82.40","82.55","-0.15","1,625",
"106/08/29","1,228,682","100,988,135","82.25","82.40","81.95","82.30","-0.25","758",
"106/08/30","4,119,943","340,949,183","82.65","82.90","82.60","82.70","+0.40","1,574",
"106/08/31","3,284,317","272,401,261","83.15","83.15","82.70","82.95","+0.25","863",


